Bedrooms,Bathrooms,Area_sqft,Location_Score,Age_years,Price
2,2,1457,8,9,547932
2,3,2202,1,8,535773
2,3,3304,7,44,794521
2,1,1568,10,42,542427
4,2,2100,3,41,603995
1,3,1705,10,23,573200
3,1,2240,10,4,725578
5,3,2316,9,34,821537
3,3,3088,5,3,795965
3,3,1216,3,34,455198
1,2,825,8,41,342020
1,3,3018,3,12,621478
1,1,627,7,36,278683
2,3,3655,7,31,841557
4,3,1594,7,44,642464
2,1,615,1,0,229607
4,1,3948,5,10,894753
4,2,932,1,25,403620
3,2,1082,7,2,510787
3,2,1165,8,48,490721
4,2,3959,7,12,984038
4,1,2761,1,31,626030
2,3,2685,3,47,617060
2,3,1053,10,49,483514
3,3,3389,3,22,805582
1,2,765,7,22,345849
4,1,3341,4,29,791272
2,1,2852,3,5,612862
3,1,1477,6,6,509685
2,3,844,10,46,463015
4,2,2494,6,29,708805
4,1,1956,10,36,703526
5,2,1542,5,47,583344
1,1,3468,6,31,706150
5,2,3154,3,5,838449
3,1,2552,10,34,746768
2,2,3571,5,31,782047
3,1,3792,9,11,920517
4,1,1882,4,3,607671
5,2,2345,2,31,655224
5,2,1009,5,34,515997
5,3,2957,3,47,790740
3,2,2715,3,15,682193
4,1,2761,4,14,704819
2,1,2867,4,40,613047
2,2,2867,5,1,692241
3,3,2096,7,5,702123
5,2,3377,4,13,901337
1,1,3396,7,40,705645
3,1,3590,9,28,865804
3,3,985,3,41,403893
4,2,3969,5,25,944484
2,1,1529,4,17,427250
3,1,3924,9,46,882766
3,1,1004,5,3,427648
5,2,1091,10,36,625000
5,2,956,2,37,465910
1,3,814,10,24,456563
4,1,2003,1,46,514984
1,1,1351,7,28,400398
5,3,1426,1,33,521827
2,1,1837,8,15,541650
5,3,1721,9,36,735393
4,3,3175,7,29,888028
5,1,3563,9,22,964548
4,2,1265,10,35,625994
4,2,3357,6,27,862127
4,2,2628,7,0,794557
4,2,3182,3,7,770713
4,1,1153,9,41,551336
2,3,2172,3,14,564112
1,3,927,6,33,364448
3,1,3549,4,18,763068
1,2,1788,9,43,495200
4,3,3787,1,29,864349
2,1,749,9,9,410805
5,1,1655,4,43,560792
2,2,1256,10,26,514170
4,1,3453,5,19,843713
2,3,2536,1,24,549977
2,3,892,1,8,350277
4,1,3566,6,39,840222
2,3,3336,10,33,876285
3,1,1556,1,20,401928
3,3,3848,2,23,822170
2,2,1684,3,6,463739
5,3,2212,7,3,820664
4,2,1015,2,7,435161
3,2,3245,5,12,771962
5,1,2654,9,20,852967
2,2,1517,10,34,566730
5,3,684,8,4,606788
1,3,3421,8,7,802296
3,2,1556,2,1,465393
2,1,2021,1,23,421804
4,2,2535,9,41,759496
2,3,2394,10,15,753845
4,3,2016,4,3,674387
2,2,1670,9,29,571735
5,2,2121,7,45,716806
5,2,3253,6,29,884128
5,3,2101,10,34,830056
1,3,3073,9,41,722639
4,3,3073,10,12,952305
5,1,1335,4,36,505718
1,3,3438,1,48,607932
4,3,3162,5,48,835953
2,1,1752,6,10,497032
1,1,1872,6,18,466324
3,1,1340,1,17,398654
1,1,2462,7,16,569993
1,1,730,8,10,343964
4,1,2363,5,14,675969
2,2,2312,2,7,545283
3,2,922,2,43,328048
5,2,1422,5,28,576900
5,2,1142,7,16,589123
1,3,2713,7,25,670977
4,1,3365,4,4,828448
4,3,3772,3,3,898529
5,1,2455,9,23,823579
3,1,2678,7,10,706766
2,3,1484,2,29,421620
3,2,790,1,39,302930
2,3,1014,2,47,316890
5,3,2438,3,47,701844
2,1,3394,5,34,724835
4,1,2413,3,43,619116
1,1,2360,10,44,593298
1,2,1669,9,32,513501
5,3,3760,10,35,1086111
4,3,2321,4,20,699082
3,2,974,7,37,477106
4,3,3917,4,4,973154
1,3,1157,3,4,362746
1,1,1880,10,20,522939
4,2,2544,1,24,629251
4,1,2196,9,9,719685
1,2,1728,1,18,358290
3,1,1960,1,31,470077
5,3,1924,1,17,615962
5,2,1700,5,33,636319
4,2,2134,7,47,678886
5,1,1853,7,14,683632
1,2,2302,10,23,614515
1,3,3225,1,4,626025
4,3,631,6,31,458467
4,3,2231,9,8,797136
4,1,657,6,4,437360
3,2,1727,4,4,563649
5,1,911,10,40,571677
4,3,2352,9,40,793135
2,2,3738,3,33,735129
2,3,2601,10,6,772701
1,2,3337,4,25,668125
5,2,1997,4,0,680882
4,1,2382,4,33,644884
2,2,2882,6,25,682377
5,3,3290,7,31,940352
1,2,3783,9,11,833050
3,3,2012,3,5,581614
5,1,2031,8,19,710694
5,3,3725,8,18,1037161
3,2,1401,1,15,429432
5,3,838,5,3,542800
1,3,2375,10,31,660633
1,2,1918,5,17,481594
3,3,711,8,4,518658
4,2,3759,8,49,926359
2,1,3123,2,5,646216
4,3,2951,3,13,761138
5,1,1928,2,48,575421
2,3,889,1,17,314434
3,3,2855,2,9,707942
3,1,3515,10,22,894557
2,3,2409,6,17,671677
1,3,1181,1,3,320390
2,1,969,6,31,352167
5,3,819,1,46,451133
1,2,3902,2,5,726012
3,3,3449,8,25,888314
2,3,3466,6,5,832642
4,3,2496,9,34,824595
4,1,948,1,40,338285
5,2,2902,5,42,815691
4,2,1051,7,4,564191
2,3,2789,9,13,772747
2,1,3740,9,1,886994
4,1,688,4,39,357549
2,2,1470,4,12,467344
5,1,1759,4,4,612007
1,3,2642,3,46,568255
5,3,2474,8,35,829985
5,1,1122,5,35,500318
2,3,3307,7,49,777704
1,2,3598,10,18,825291
2,3,1509,6,19,506005
3,1,1041,9,21,475539
2,2,637,3,30,305209
2,3,2480,6,40,638519
2,2,3879,3,46,771074
1,1,809,2,43,197005
2,3,3160,3,3,724497
1,3,2200,2,2,513194
4,2,3672,2,36,804568
3,3,1580,10,24,661345
1,3,980,7,48,370117
4,3,3475,10,36,993524
1,3,2160,3,3,510395
1,1,3506,8,38,717813
3,3,993,2,6,411735
5,2,1673,7,6,686902
5,1,995,3,48,443654
1,2,2376,9,24,636637
2,2,2679,7,14,682301
4,2,1144,9,6,616564
2,1,3359,2,46,641924
2,1,3905,6,3,818082
1,1,3697,5,33,707813
1,3,1684,2,44,407165
1,2,1152,4,43,320167
1,1,2064,4,41,420518
5,2,1753,8,18,713069
1,1,1977,7,46,470293
5,1,2845,5,48,747626
5,1,3446,9,37,926227
1,2,2286,1,26,453814
3,3,2339,4,4,672374
4,1,1293,5,12,531659
2,1,2794,8,45,672106
5,1,2339,3,13,668713
4,3,1097,5,29,538622
3,2,2695,3,46,610647
2,2,3417,7,47,761248
2,2,3298,10,9,848151
5,2,1795,3,31,623544
1,1,1212,7,0,421727
3,3,3346,2,23,751317
5,1,1938,7,28,695654
3,3,975,9,42,536489
1,2,1405,5,6,396314
1,3,1520,6,30,477581
5,1,1474,10,16,699777
1,1,3457,3,29,636408
4,2,2043,10,24,754295
2,1,3552,5,27,733666
5,1,2019,5,35,649116
3,3,2145,3,6,619112
4,1,1810,8,34,620152
5,2,1605,6,19,645539
1,2,2680,3,13,551755
1,1,2716,1,49,473092
1,2,1191,10,49,450317
1,3,1814,1,29,385798
3,3,2748,10,0,859007
4,1,2108,2,37,544453
2,1,1908,10,40,570335
3,3,1513,5,24,549554
3,2,3380,7,33,820655
2,1,989,1,7,306361
2,1,759,1,19,239967
1,2,1491,4,29,383986
3,1,1670,10,3,624214
5,2,3830,6,20,1003139
2,2,2069,9,26,615209
2,2,1295,1,9,355988
4,2,1357,10,22,633213
5,2,3170,5,32,835327
5,3,3379,9,10,1006877
2,2,2802,8,40,712143
1,3,938,7,18,407033
4,2,2576,10,10,823584
5,1,1394,2,3,530356
2,3,2322,9,22,694857
5,1,2197,8,4,776067
4,2,3819,10,48,1001327
4,2,1498,10,49,615829
3,1,1767,9,4,617066
2,2,702,9,17,409858
4,1,3459,9,16,903303
3,2,692,3,2,371384
3,2,1574,7,42,537935
5,3,3957,1,48,922042
5,1,2047,9,7,744743
3,2,718,9,39,463890
5,1,2632,3,22,725405
4,3,2676,5,22,771046
1,1,3660,8,1,794957
4,3,2134,6,38,688424
3,1,3701,10,20,918834
3,1,3519,10,23,904025
4,3,1989,9,37,748360
5,2,3447,3,19,858301
5,2,3809,7,49,974693
3,2,1074,6,38,455507
2,1,3210,5,49,648698
5,1,1034,4,26,500049
4,2,3451,5,43,842134
5,1,1857,4,38,608430
4,1,654,3,6,372501
3,2,1530,7,32,561885
5,3,1915,6,28,738098
4,1,3399,4,9,792749
3,1,911,9,9,482788
2,1,2171,1,11,479452
4,1,3760,1,2,805983
2,3,3883,9,2,953156
2,2,1556,7,12,508775
1,1,2965,2,44,521107
5,2,2500,10,30,862528
4,1,1356,5,26,516623
2,3,3112,4,5,748071
1,2,3758,1,26,655731
3,3,2032,9,34,696553
4,1,1863,6,46,592111
2,3,2455,6,8,661851
5,3,3347,4,5,915774
1,1,3728,2,5,664875
2,1,3784,8,39,837907
5,2,3382,8,25,960399
2,1,1693,3,42,411405
4,2,3386,7,18,893384
4,3,3415,7,15,924034
4,3,3855,5,40,945228
1,2,1343,5,22,398472
4,1,2923,8,10,818165
5,1,832,4,15,477241
2,3,2701,1,28,604889
3,2,856,1,37,319033
5,3,2628,9,48,850426
5,3,2737,4,47,786341
4,1,2361,1,19,587177
1,2,2529,2,20,524072
2,3,2058,10,27,675061
1,1,2248,7,49,494361
2,3,1007,2,32,360979
2,3,3940,1,49,770229
1,1,2292,10,39,574477
5,1,2577,9,25,803178
2,2,3013,5,9,690930
1,3,2998,4,33,653706
2,2,1922,4,8,531674
3,1,2529,1,35,536225
5,1,1782,3,10,600280
4,3,3134,1,9,769982
2,2,1441,5,45,445913
3,2,1583,5,6,531751
4,3,2360,9,37,767595
4,3,1978,8,15,729023
2,2,1220,5,25,419798
1,1,1529,5,31,385020
2,1,3048,7,30,712984
3,3,3767,2,31,803639
4,2,2330,7,44,721137
2,2,3217,1,11,646647
1,2,1574,5,26,406481
2,1,991,6,21,383021
5,1,951,10,14,625548
1,2,3453,1,7,651538
3,2,2289,9,3,713267
4,3,1175,9,7,646365
2,3,2293,1,22,516303
1,2,3424,4,15,679226
5,2,3280,8,47,899365
1,1,1911,2,33,380226
5,2,1122,8,21,616802
3,3,1325,10,48,593883
4,1,761,9,22,491295
3,3,2537,9,4,802851
2,3,1258,1,36,360825
1,1,3853,9,43,777408
5,3,3497,4,6,946018
5,2,2172,8,36,778923
1,3,2729,9,25,691413
1,1,1123,3,27,297555
2,1,603,6,3,323453
3,1,3142,3,48,654324
5,3,2178,1,31,652873
2,2,1674,10,37,560558
3,1,1884,6,45,535305
2,2,3805,5,8,804859
5,1,2222,3,35,631665
1,2,3215,4,25,663464
1,2,3888,2,10,718412
3,2,1477,10,19,621695
4,1,1691,10,47,629049
3,3,3659,4,47,806935
4,3,3662,4,47,876120
2,3,3511,3,37,734309
2,2,1766,6,14,544286
5,1,2177,1,34,593824
4,2,2274,9,8,762174
5,1,2208,10,32,760903
1,2,3426,3,10,664887
4,1,1817,3,21,551330
3,1,3652,3,5,787883
1,1,2290,7,36,530255
1,2,3917,8,49,798777
3,3,913,2,20,411135
1,2,1329,1,11,337276
4,2,983,5,6,488598
5,1,2388,8,1,812828
